Attaching 1 probe...
Attaching 1 probe...
Attaching 1 probe...
bpftrace 45309 2 1396015848640438
bpftrace 45309 2 1396015848639534
swapper/2 0 2 1396015848641929
swapper/2 0 2 1396015848641686
bpftrace 45309 2 1396015848646246
bpftrace 45309 2 1396015848646483
swapper/2 0 2 1396015848647752
swapper/2 0 2 1396015848647981
bpftrace 45309 2 1396015848652376
swapper/2 0 2 1396015848661051
bpftrace 45309 2 1396015848652056
bpftrace 45300 5 1396015848659163
swapper/5 0 5 1396015848661886
swapper/2 0 2 1396015848660853
bpftrace 45300 5 1396015848658872
swapper/5 0 5 1396015848661601
bpftrace 45309 2 1396015848668329
swapper/2 0 2 1396015848669828
bpftrace 45309 2 1396015848668007
swapper/2 0 2 1396015848669631
bpftrace 45309 2 1396015848673842
bpftrace 45309 2 1396015848674161
swapper/2 0 2 1396015848675450
swapper/2 0 2 1396015848675678
bpftrace 45309 2 1396015848680674
swapper/2 0 2 1396015848683162
bpftrace 45309 2 1396015848680347
bpftrace 45300 5 1396015848681292
swapper/2 0 2 1396015848682962
swapper/5 0 5 1396015848683967
bpftrace 45300 5 1396015848680984
swapper/5 0 5 1396015848683713
bpftrace 45309 2 1396015848690865
bpftrace 45309 2 1396015848690574
swapper/2 0 2 1396015848692350
swapper/2 0 2 1396015848692155
bpftrace 45309 2 1396015848697069
swapper/2 0 2 1396015848698667
bpftrace 45309 2 1396015848697393
swapper/2 0 2 1396015848698914
bpftrace 45309 2 1396015848703827
swapper/2 0 2 1396015848706360
bpftrace 45309 2 1396015848703504
bpftrace 45300 5 1396015848703586
swapper/5 0 5 1396015848707106
swapper/2 0 2 1396015848706164
bpftrace 45300 5 1396015848703272
swapper/5 0 5 1396015848706824
bpftrace 45309 2 1396015848713331
swapper/2 0 2 1396015848714822
bpftrace 45309 2 1396015848713011
swapper/2 0 2 1396015848714624
bpftrace 45309 2 1396015848718790
bpftrace 45309 2 1396015848719109
swapper/2 0 2 1396015848720641
swapper/2 0 2 1396015848720415
bpftrace 45309 2 1396015848724627
bpftrace 45309 2 1396015848724864
swapper/2 0 2 1396015848726465
swapper/2 0 2 1396015848726188
bpftrace 45309 2 1396015848732780
bpftrace 45309 2 1396015848733686
swapper/2 0 2 1396015848734938
swapper/2 0 2 1396015848735136
bpftrace 45309 2 1396015848740075
swapper/2 0 2 1396015848742815
bpftrace 45309 2 1396015848739753
bpftrace 45300 5 1396015848740952
swapper/5 0 5 1396015848743563
swapper/2 0 2 1396015848742617
bpftrace 45309 2 1396015848753951
swapper/2 0 2 1396015848755449
bpftrace 45309 2 1396015848753632
swapper/2 0 2 1396015848755249
bpftrace 45309 2 1396015848759647
bpftrace 45309 2 1396015848759882
swapper/2 0 2 1396015848761389
swapper/2 0 2 1396015848761144
bpftrace 45300 5 1396015848740657
swapper/5 0 5 1396015848743281
bpftrace 45309 2 1396015848765878
swapper/2 0 2 1396015848767320
bpftrace 45309 2 1396015848765615
swapper/2 0 2 1396015848767122
bpftrace 45309 2 1396015848771609
bpftrace 45309 2 1396015848771282
swapper/2 0 2 1396015848773132
swapper/2 0 2 1396015848772905
bpftrace 45309 2 1396015848777259
bpftrace 45309 2 1396015848777509
swapper/2 0 2 1396015848778754
swapper/2 0 2 1396015848778986
bpftrace 45309 2 1396015848783365
swapper/2 0 2 1396015848786087
bpftrace 45309 2 1396015848783046
bpftrace 45300 5 1396015848784191
swapper/5 0 5 1396015848786922
swapper/2 0 2 1396015848785891
bpftrace 45300 5 1396015848783826
swapper/5 0 5 1396015848786660
bpftrace 45309 2 1396015848798804
bpftrace 45309 2 1396015848796321
swapper/2 0 2 1396015848800294
swapper/2 0 2 1396015848800095
bpftrace 45309 2 1396015848804505
swapper/2 0 2 1396015848806098
bpftrace 45309 2 1396015848804819
swapper/2 0 2 1396015848806326
bpftrace 45309 2 1396015848813172
bpftrace 45309 2 1396015848814014
swapper/2 0 2 1396015848815259
swapper/2 0 2 1396015848817084
bpftrace 45309 2 1396015848823122
swapper/2 0 2 1396015848825922
bpftrace 45300 5 1396015848824159
swapper/5 0 5 1396015848832668
bpftrace 45309 2 1396015848822828
swapper/2 0 2 1396015848825720
bpftrace 45309 2 1396015848835584
bpftrace 45309 2 1396015848835905
swapper/2 0 2 1396015848837445
swapper/2 0 2 1396015848837207
bpftrace 45300 5 1396015848823837
swapper/5 0 5 1396015848832401
bpftrace 45309 2 1396015848842325
swapper/2 0 2 1396015848843811
bpftrace 45309 2 1396015848842077
swapper/2 0 2 1396015848843586
systemd 45133 0 1396015848843276
systemd 45133 0 1396015848842389
bpftrace 45309 2 1396015848852582
swapper/2 0 2 1396015848854182
bpftrace 45309 2 1396015848852267
swapper/2 0 2 1396015848853934
bpftrace 45309 2 1396015848858219
bpftrace 45309 2 1396015848858536
swapper/2 0 2 1396015848860029
swapper/2 0 2 1396015848859829
bpftrace 45309 2 1396015848864824
swapper/2 0 2 1396015848866451
bpftrace 45309 2 1396015848865110
swapper/2 0 2 1396015848866726
bpftrace 45300 5 1396015848870872
swapper/5 0 5 1396015848880628
